logistic_regression,"0.67 (0.64, 0.7)","0.61 (0.59, 0.64)","0.6 (0.58, 0.63)","0.63 (0.6, 0.66)","0.67 (0.64, 0.71)","0.56 (0.52, 0.59)","0.63 (0.61, 0.66)"
elastic_net,"0.67 (0.64, 0.7)","0.63 (0.6, 0.65)","0.61 (0.59, 0.64)","0.65 (0.63, 0.68)","0.71 (0.68, 0.74)","0.54 (0.5, 0.58)","0.65 (0.63, 0.68)"
svm_linear,"0.67 (0.64, 0.71)","0.61 (0.59, 0.64)","0.61 (0.58, 0.64)","0.63 (0.6, 0.66)","0.65 (0.61, 0.69)","0.58 (0.54, 0.61)","0.63 (0.6, 0.66)"
svm_rbf,"0.72 (0.69, 0.75)","0.69 (0.66, 0.71)","0.66 (0.63, 0.68)","0.74 (0.7, 0.78)","0.79 (0.76, 0.82)","0.58 (0.53, 0.63)","0.72 (0.69, 0.74)"
alexnet,"0.83 (0.8, 0.87)","0.73 (0.7, 0.77)","0.71 (0.67, 0.75)","0.8 (0.75, 0.85)","0.82 (0.77, 0.87)","0.65 (0.58, 0.71)","0.75 (0.72, 0.78)"
vgg,"0.78 (0.75, 0.81)","0.72 (0.69, 0.75)","0.67 (0.64, 0.69)","0.89 (0.84, 0.95)","0.9 (0.84, 0.96)","0.54 (0.47, 0.6)","0.76 (0.73, 0.79)"
googlenet,"0.76 (0.72, 0.8)","0.7 (0.66, 0.74)","0.68 (0.64, 0.71)","0.75 (0.7, 0.8)","0.78 (0.72, 0.84)","0.63 (0.57, 0.68)","0.72 (0.67, 0.76)"
inceptionv3,"0.69 (0.64, 0.73)","0.64 (0.6, 0.67)","0.63 (0.59, 0.67)","0.66 (0.59, 0.74)","0.74 (0.68, 0.79)","0.54 (0.45, 0.63)","0.67 (0.64, 0.69)"
resnet,"0.71 (0.66, 0.76)","0.64 (0.6, 0.68)","0.64 (0.56, 0.71)","0.65 (0.6, 0.69)","0.64 (0.55, 0.73)","0.64 (0.54, 0.74)","0.62 (0.55, 0.69)"
logistic_regression,"0.69 (0.66, 0.71)","0.64 (0.62, 0.67)","0.64 (0.6, 0.67)","0.66 (0.63, 0.69)","0.69 (0.65, 0.72)","0.6 (0.55, 0.65)","0.66 (0.63, 0.68)"
elastic_net,"0.66 (0.63, 0.69)","0.63 (0.6, 0.66)","0.61 (0.58, 0.65)","0.67 (0.62, 0.71)","0.72 (0.68, 0.77)","0.54 (0.49, 0.59)","0.66 (0.63, 0.69)"
svm_linear,"0.7 (0.67, 0.72)","0.64 (0.62, 0.66)","0.64 (0.61, 0.66)","0.66 (0.62, 0.69)","0.68 (0.63, 0.72)","0.61 (0.56, 0.65)","0.65 (0.62, 0.67)"
svm_rbf,"0.73 (0.68, 0.77)","0.67 (0.63, 0.71)","0.65 (0.61, 0.69)","0.71 (0.67, 0.75)","0.75 (0.7, 0.79)","0.6 (0.54, 0.65)","0.69 (0.65, 0.73)"
alexnet,"0.79 (0.75, 0.84)","0.71 (0.67, 0.74)","0.68 (0.65, 0.71)","0.76 (0.71, 0.8)","0.79 (0.75, 0.83)","0.62 (0.56, 0.68)","0.73 (0.7, 0.76)"
vgg,"0.75 (0.7, 0.81)","0.7 (0.66, 0.74)","0.67 (0.59, 0.74)","0.76 (0.71, 0.82)","0.78 (0.69, 0.86)","0.62 (0.54, 0.7)","0.71 (0.64, 0.77)"
googlenet,"0.7 (0.66, 0.74)","0.64 (0.59, 0.68)","0.62 (0.55, 0.69)","0.63 (0.54, 0.72)","0.73 (0.63, 0.83)","0.55 (0.44, 0.67)","0.64 (0.58, 0.71)"
inceptionv3,"0.61 (0.55, 0.67)","0.57 (0.53, 0.61)","0.58 (0.53, 0.63)","0.56 (0.43, 0.68)","0.78 (0.7, 0.86)","0.37 (0.26, 0.48)","0.64 (0.61, 0.67)"
